,business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
9298,"Shenzhen Jing Lin Packaging Co., Ltd.",jinglinpackaging.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Drawer Box,Magnetic Box,Lid And Base Box,Shipping Box,Carton Box",jinglinpackaging.en.alibaba.com/company_profile.html#top-nav-bar
9299,"Shenzhen Yinchitu Packing Co., Ltd.",tinbox1688.en.alibaba.com/contactinfo.html,Gold Supplier,1,"tin box,tin can,tin packaging,metal tin box,metal box",tinbox1688.en.alibaba.com/company_profile.html#top-nav-bar
9300,"Guangzhou Bosing Paper Printing & Packaging Co., Ltd.",cnpaperbox.en.alibaba.com/contactinfo.html,Supplier,3,"Ivory Board Box,Corrugated Box,Rigid Box",cnpaperbox.en.alibaba.com/company_profile.html#top-nav-bar
9301,"Dongguan Tinbo Packing Industrial Co., Ltd.",tinboxes.en.alibaba.com/contactinfo.html,Supplier,8,"Tin Box,Tin Can,Ice Bucket,Gift Tin,Packing Box",tinboxes.en.alibaba.com/company_profile.html#top-nav-bar
9302,"Xiamen Yixin Printing Co., Ltd.",yixin66.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Paper Box,Cosmetic Box,Corrugated Box,Paper Vase,Kraft Box",yixin66.en.alibaba.com/company_profile.html#top-nav-bar
9303,"Guangzhou Tianyi Metal Products Co., Ltd.",gztinyee.en.alibaba.com/contactinfo.html,Gold Supplier,2,"tin box,tin can,tin case,tin packaging,tinplate products",gztinyee.en.alibaba.com/company_profile.html#top-nav-bar
9304,"Xiamen Xinlongqiao Industry & Trade Co., Ltd.",xinlongqiao.en.alibaba.com/contactinfo.html,Supplier,9,"Sticker,Label,Hangtag,Paper Box,Paper Bag,Magazine",xinlongqiao.en.alibaba.com/company_profile.html#top-nav-bar
9305,"Dongguan Tinsmaker Co., Ltd.",tinsmaker.en.alibaba.com/contactinfo.html,Supplier,5,"Tin cans,Tin boxes",tinsmaker.en.alibaba.com/company_profile.html#top-nav-bar
9307,"Guangzhou Yijin Sports Equipment Co., Ltd.",spramazing.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Commercial strength training equipment,home gym,motorized treadmill,exercise bike,boxing training product",spramazing.en.alibaba.com/company_profile.html#top-nav-bar
9311,"Zhejiang Todo Hardware Manufacture Co., Ltd.",just-todo.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Abdominal Machine,Yoga Products,Trampoline,Mini Stepper,Resistance Bands",just-todo.en.alibaba.com/company_profile.html#top-nav-bar
9313,"Hefei MOSC Trade Co., Limited",moscgroup.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Rare earth products,Boxing Equipment,Jump rope,ceramic material,resistance band",moscgroup.en.alibaba.com/company_profile.html#top-nav-bar
9332,COSZCATL EXPORTS,coszcatlexports.trustpass.alibaba.com/contactinfo.html,Gold Supplier,4,"Pave jewelry,Bezel,beads,Loose Gemstones,silver jewelry",coszcatlexports.trustpass.alibaba.com/company_profile.html#top-nav-bar
9333,"Yiwu Nuoheng Trading Co., Ltd.",nuohengtrade.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Loose Beads,Fashion Jewelry,diffuser locket,Jewelry Finding,Baby teething Jewelry",nuohengtrade.en.alibaba.com/company_profile.html#top-nav-bar
9334,"Guangzhou Wkt Trade Co., Ltd.",wkt.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Ring,bracelet,pendant,necklace,bangle",wkt.en.alibaba.com/company_profile.html#top-nav-bar
9335,"Guangzhou Tan Tat Metal Works Co., Ltd.",tantat.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Jewelry Findings,Beads,Chains,Earring Findings,Charms",tantat.en.alibaba.com/company_profile.html#top-nav-bar
9337,"Anhui Weihan Imp.&Exp. Co., Ltd.",anhuiweihan.en.alibaba.com/contactinfo.html,Gold Supplier,5,"silicone product,beauty product,sport product,daily use product,Promotional products",anhuiweihan.en.alibaba.com/company_profile.html#top-nav-bar
9338,Yongkang Jujian ,factorybrush.en.alibaba.com/contactinfo.html,Gold Supplier,5,"gun cleaning kit,chimney cleaning brush,gutter brush,straw cleaning brush,bottle cleaning brush",factorybrush.en.alibaba.com/company_profile.html#top-nav-bar
9339," Co., Ltd.",ahbrush.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Road Brush,Sweep Brush,Steel Wire Brush,Sanitation Road Brush,Cleaning Brush",ahbrush.en.alibaba.com/company_profile.html#top-nav-bar
9340,Anhui Qianshan Yongxing Special ,stationerygift.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Artist Painting brush,Nail Art brush,Dental Ceramic brush,Finger print brush,makeup brush",stationerygift.en.alibaba.com/company_profile.html#top-nav-bar
9341," Industry Co., Ltd.",winsung.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Hair brush,Combs,Hair rollers,Hair Accessory,Makeup brush",winsung.en.alibaba.com/company_profile.html#top-nav-bar
9342,"Jiangxi Xiaoxue Industrial Co., Ltd.",dafuhaobrush.en.alibaba.com/contactinfo.html,Gold Supplier,13,"painting tools,Paint Roller,Paint Brush,chalk brush,cheap brush",dafuhaobrush.en.alibaba.com/company_profile.html#top-nav-bar
9343,"Ningbo Winsung Trade Co., Ltd.",yidashuaye.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Industrial Brush Roller,Sweeper Brush,Strip Brush,Tube Brush,Drill Brush",yidashuaye.en.alibaba.com/company_profile.html#top-nav-bar
9345,"-Making Co., Ltd.",cn1000189886.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Drinking Straws Brush,Cleaning Pipe Tube Brush,Nylon Cleaning Brush for Straw,wool dauber",cn1000189886.en.alibaba.com/company_profile.html#top-nav-bar
9347,"Guangdong Xiaolaoxie Food Co., Ltd.",xiaolaoxie.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Chocolate candy,chocolate,hard candy,toy,soft candy",xiaolaoxie.en.alibaba.com/company_profile.html#top-nav-bar
9348,"Shantou M&H Foods Co., Limited",mhfoods.en.alibaba.com/contactinfo.html,Gold Supplier,4,"press candy,biscuit,jelly pen,cc sticker,toy candy",mhfoods.en.alibaba.com/company_profile.html#top-nav-bar
9349,"Shijiazhuang Beautiful Year Food Co., Ltd.",meinianhua.en.alibaba.com/contactinfo.html,Gold Supplier,1,"bubble gam,chewing gum,lollipop,hard candy",meinianhua.en.alibaba.com/company_profile.html#top-nav-bar
9350,"Shantou Shunzhou Trading Co., Ltd.",stshunzhou.en.alibaba.com/contactinfo.html,Gold Supplier,4,"chocolate beans,milk candy,hard candy,spray candy,lollipop",stshunzhou.en.alibaba.com/company_profile.html#top-nav-bar
9352,"Guangdong Funway Food Co., Ltd.",funwayfood.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Lollipop,Spray &amp; Liquid Candy,Compressed Candy,Marshmallow,Toy Candy",funwayfood.en.alibaba.com/company_profile.html#top-nav-bar
9353,"Shantou Meiling Food Co., Ltd.",stmlfood.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Sugar free mint,chewing gum,mint Candy,Jelly bean,hard candy",stmlfood.en.alibaba.com/company_profile.html#top-nav-bar
9355,"Chaozhou Chaoan Choyo Food Co., Ltd.",sikoz.en.alibaba.com/contactinfo.html,Gold Supplier,4,"CC Stick,Spray Candy,Popping Candy,Marshmallow,Fruit Juice",sikoz.en.alibaba.com/company_profile.html#top-nav-bar
9357,"Baoding Sean Import And Export Trade Co., Ltd.",bdsuoen.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Wool Felt Hat,Straw Hat,Beach Hat,Straw Bag,Leather Gloves",bdsuoen.en.alibaba.com/company_profile.html#top-nav-bar
9361,Yiwu Chuangtong Garment Factory,chuangtongfactory.en.alibaba.com/contactinfo.html,Gold Supplier,1,"hats,caps",chuangtongfactory.en.alibaba.com/company_profile.html#top-nav-bar
9362,READY ONE,readyone.trustpass.alibaba.com/contactinfo.html,Gold Supplier,6,"hoodies &amp; sweatshirts,Sweat Jogger Pants and Sweatsuits,varsity jackets letterman jackets baseball jackets,T-Shirts,Leather Styling",readyone.trustpass.alibaba.com/company_profile.html#top-nav-bar
9363,"Fuzhou Qianlihui Import & Export Co., Ltd.",qianlihui.en.alibaba.com/contactinfo.html,Gold Supplier,2,"clothing,Clothes &amp; Accessories,textile,shoes",qianlihui.en.alibaba.com/company_profile.html#top-nav-bar
9364,"Shenzhen Onequan Silicone Rubber Products Co., Ltd.",onequansilicone.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Silicone phone case,ID qr code bracelet,Pet produts,Silicone&amp;Pvc Soft eposy Products,Silicone promotional gift",onequansilicone.en.alibaba.com/company_profile.html#top-nav-bar
9371,"Shenzhen JCN New Energy Technology Co., Ltd.",jcnsolar.en.alibaba.com/contactinfo.html,Supplier,5,"Solar PV Module,Folding Solar Charger,Solar Energy Storage Lighting System,Distributed Power Plant,Solar Street Light",jcnsolar.en.alibaba.com/company_profile.html#top-nav-bar
9374,"iLamp Technology Co., Ltd.",ilamp.en.alibaba.com/contactinfo.html,Gold Supplier,5,"C35 led filament bulb,G45 led filament bulb,A60 led filament bulb,UL led filament bulb,Energy star led filament lamp",ilamp.en.alibaba.com/company_profile.html#top-nav-bar
9375,"Shenzhen Shenpu Photoelectric Co., Ltd.",senpoled.en.alibaba.com/contactinfo.html,Supplier,5,LED Light,senpoled.en.alibaba.com/company_profile.html#top-nav-bar
9376,CV. PRIME JAVA,id1009675773.trustpass.alibaba.com/contactinfo.html,Gold Supplier,7,"TEAK ROOT FURNITURE,BAMBOO FENCING,WATER FEATURES,BAMBOO FENCING PANELS,FURNITURE",id1009675773.trustpass.alibaba.com/company_profile.html#top-nav-bar
9377,CV. BUDIVIS,budivis.trustpass.alibaba.com/contactinfo.html,Gold Supplier,4,"Costume Jewelry,Accessories,Handbags,Crafts,Gifts",budivis.trustpass.alibaba.com/company_profile.html#top-nav-bar
9378,CV. ,balianugraha.trustpass.alibaba.com/contactinfo.html,Gold Supplier,12,"Necklaces,Bracelets,Rings,Keyrings,Bracelets",balianugraha.trustpass.alibaba.com/company_profile.html#top-nav-bar
9379, ANUGRAHA,vn1315712956ikzp.trustpass.alibaba.com/contactinfo.html,Gold Supplier,2,"Rattan Baskets Storage,Rattan Bamboo Fashion Bag,Seagrass Storage Baskets,Rattan Banneton Proofing Basket,waterhyacinth basket",vn1315712956ikzp.trustpass.alibaba.com/company_profile.html#top-nav-bar
9380,LE PHONG ,hyysunland.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Knitted beanie,Knitted glove,Knitted scarf,Leg warmer,Boot cuff",hyysunland.en.alibaba.com/company_profile.html#top-nav-bar
9386,"Huaian Sunland International Trading Co., Ltd.",homewarecrafts2.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"Basket,Tableware,Handbag,Furniture,Lampshade",homewarecrafts2.trustpass.alibaba.com/company_profile.html#top-nav-bar
9387,CV. BUDIVIS,homewarecrafts.trustpass.alibaba.com/contactinfo.html,Gold Supplier,2,"Basket,Home Decor,Kitchenware,houseware,Bowl",homewarecrafts.trustpass.alibaba.com/company_profile.html#top-nav-bar
9388,HOMEWARE CRAFTS TRADING AND MANUFACTURING COMPANY LIMITED,baominhmanufacturer.trustpass.alibaba.com/contactinfo.html,Gold Supplier,3,"seagrass belly basket,rattan bag,bamboo bag,rattan chair,rattan mirror",baominhmanufacturer.trustpass.alibaba.com/company_profile.html#top-nav-bar
9389,HOMEWARE CRAFTS TRADING AND MANUFACTURING COMPANY LIMITED,vn1308618863bgae.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"Basket,Tableware,Hand bag,Furniture,Lampshade",vn1308618863bgae.trustpass.alibaba.com/company_profile.html#top-nav-bar
9390,BAO MINH MANUFACTURER JOINT STOCK COMPANY,snhandicraft.trustpass.alibaba.com/contactinfo.html,Gold Supplier,8,"Bell Ropes,Navy Blue Bell Rope,Monkey Fist,Rope Bracelet,Rope Doorstop",snhandicraft.trustpass.alibaba.com/company_profile.html#top-nav-bar
9391,"Guangzhou Sanxuan Trading Co., Ltd.",moqianyi.en.alibaba.com/contactinfo.html,Supplier,1,"Women Dress,Women Blouses,Women's Jumpsuits,Women Sets",moqianyi.en.alibaba.com/company_profile.html#top-nav-bar
9392,"Yiwu Xudan Jewelry Co., Ltd.",xudanjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Fashion Jewelry,Scarf,Hat",xudanjewelry.en.alibaba.com/company_profile.html#top-nav-bar
9393,"Suzhou Keyidi Textile Co., Ltd.",keyidi.en.alibaba.com/contactinfo.html,Supplier,2,"Dresses,Blouses &amp; Tops,Pants,Sweaters,Skirts",keyidi.en.alibaba.com/company_profile.html#top-nav-bar
9394,"Jiangyin Xiangfei Fashion Co., Ltd.",yfcloths.en.alibaba.com/contactinfo.html,Supplier,1,"Sweater,Dress,T shirt",yfcloths.en.alibaba.com/company_profile.html#top-nav-bar
9397,"Aiyingmei Trading Co., Ltd. SZ",aiyingmei.en.alibaba.com/contactinfo.html,Gold Supplier,3,"children dress,children pants,baby romper,children clothes set,kids t-shirt",aiyingmei.en.alibaba.com/company_profile.html#top-nav-bar
9398,"Guangzhou We Fun Fashion Garment Co., Ltd.",gediao.en.alibaba.com/contactinfo.html,Supplier,4,"Casual Dress,Printed Dress,Office Dress,Islamic Clothing,Blouse &amp; Tops",gediao.en.alibaba.com/company_profile.html#top-nav-bar
9399,"Guangzhou Diqi Clothes Co., Ltd.",diqiclothes.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Ladies Tops,Ladies Dress,Ladies Skirt,Ladies Coat,Ladies t-shirt",diqiclothes.en.alibaba.com/company_profile.html#top-nav-bar
9400,"Hangzhou Huacuiyuan Silk Co., Ltd.",silkcity.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Scarf,Tie,wool,cashmere,pillow",silkcity.en.alibaba.com/company_profile.html#top-nav-bar
9401,"Guangzhou Heng Dian Trade Co., Ltd.",gzhdjewelry.en.alibaba.com/contactinfo.html,Supplier,3,"Earring,Jewelry Sets,Bracelet,Pendant,Ring",gzhdjewelry.en.alibaba.com/company_profile.html#top-nav-bar
9402,"Haifeng Damila E-Commerce Co., Ltd.",damila.en.alibaba.com/contactinfo.html,Supplier,2,"Pendant,Necklace,Earring,Ring,Bracelet",damila.en.alibaba.com/company_profile.html#top-nav-bar
9403,"Yiwu Kaimei E-Commerce Co., Ltd.",cnkaimei.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Fashion Jewelry,Hair Accessories,Watches,Bikinis,Party Ornaments",cnkaimei.en.alibaba.com/company_profile.html#top-nav-bar
9404,"Yiwu BoYi Trading Co., Ltd.",xusfashion.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Jewelry,baby jewelry,scarf,bag,hat",xusfashion.en.alibaba.com/company_profile.html#top-nav-bar
9405,"Guangzhou Chenzuan Crafts Co., Ltd.",chenzuan.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Necklace,Bracelets,Earring,Ring,Anklets",chenzuan.en.alibaba.com/company_profile.html#top-nav-bar
9406,"Yiwu Teemi Jewelry Co., Ltd.",teemi.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Bracelet,bridal jewelry,Earring,Sets,Jewelry",teemi.en.alibaba.com/company_profile.html#top-nav-bar
9407,"Yiwu NuoRui Apparel Co., Ltd.",ywnuorui.en.alibaba.com/contactinfo.html,Gold Supplier,3,"necklace,bracelet,earring,ring,jewelry accessories",ywnuorui.en.alibaba.com/company_profile.html#top-nav-bar
9410,"Yiwu C&L Jewelry Co., Ltd.",clresources.en.alibaba.com/contactinfo.html,Supplier,6,Jewelry,clresources.en.alibaba.com/company_profile.html#top-nav-bar
9421,"Yiwu Xingxiu Commerce Co., Ltd.",showfay.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Necklace,Earring,Ring,Bracelet,jewelry set",showfay.en.alibaba.com/company_profile.html#top-nav-bar
9422,Shenzhen Effeeter ,effeeter.en.alibaba.com/contactinfo.html,Gold Supplier,10,"cufflink,earring,pendant,bracelet,ring",effeeter.en.alibaba.com/company_profile.html#top-nav-bar
9423, Ltd.,www.alibaba.com/member/yudanegara/contactinfo.html,Gold Supplier,1,"Bali silver jewelry harmony ball,Bali silver jewelry dream ball,Bali silver jewelry prayer box,Bali silver jewelry poison box ring,Bali silver jewelry perfume box",www.alibaba.com/member/yudanegara/company_profile.html#top-nav-bar
9424, Yoyo,susilajewelry.trustpass.alibaba.com/contactinfo.html,Gold Supplier,10,"Bracelet,Necklace,Earrings,Jewelry,Jewelry Display",susilajewelry.trustpass.alibaba.com/company_profile.html#top-nav-bar
9425,PT Susila Export ,xiaofay.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Necklace,Earring,Ring,Bracelet,jewelry",xiaofay.en.alibaba.com/company_profile.html#top-nav-bar
9426,"Yiwu Xingxiu Commerce Co., Ltd.",www.alibaba.com/member/tolebali/contactinfo.html,Gold Supplier,3,"Bali Silver Jewelry,Sterling Silver,Wood Craftted With Silver,Precious Stones,Coral",www.alibaba.com/member/tolebali/company_profile.html#top-nav-bar
9427,"Dongguan City Wanshi Garment Co., Ltd.",tinya.en.alibaba.com/contactinfo.html,Gold Supplier,5,"islamic clothing,women casual clothing,t-shirt,pants&amp;skirt",tinya.en.alibaba.com/company_profile.html#top-nav-bar
9428,"Ohyeah Lingerie Trade (Xiamen) Co., Ltd.",ohyeah.en.alibaba.com/contactinfo.html,Supplier,11,"Lingerie,Sleepwear,Dress,Swim Wear (Beach Cover,Bikini,Song),Leggings,Stocking,Panty",ohyeah.en.alibaba.com/company_profile.html#top-nav-bar
9429,CV. ,baliexportimport.trustpass.alibaba.com/contactinfo.html,Gold Supplier,12,"Bali Umbrellas,Vanilla Beans,Bali Handicrafts,Bali Flags,Indonesia Vanilla Beans",baliexportimport.trustpass.alibaba.com/company_profile.html#top-nav-bar
9430, EXPORT IMPORT,bcbali.trustpass.alibaba.com/contactinfo.html,Gold Supplier,3,"jewelry,handbags,handicraft bali,pareo sarong,sandal",bcbali.trustpass.alibaba.com/company_profile.html#top-nav-bar
9431,BC ,juandi.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Scarves,Shawls,Gloves,Hats,Textile Fabric",juandi.en.alibaba.com/company_profile.html#top-nav-bar
9432,"Hangzhou Juandi Textile Co., Ltd.",leranscarf007.en.alibaba.com/contactinfo.html,Supplier,1,"Scarves,Cloth",leranscarf007.en.alibaba.com/company_profile.html#top-nav-bar
9433,"Hangzhou Leran Ecommerce Co., Ltd.",ohyeah123.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Sexy Lingerie,Panty,Fashion Dress,Body Stocking,Leggings",ohyeah123.en.alibaba.com/company_profile.html#top-nav-bar
9434,"Ohyeah Trade (Xiamen) Co., Ltd.",id1333805576todq.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"beach wear,sarong,pareo,men shirt,ladies dress",id1333805576todq.trustpass.alibaba.com/company_profile.html#top-nav-bar
9435,UD. SARI PARI,dkchinano1.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Jewelry,Garment,Crafts,Gift",dkchinano1.en.alibaba.com/company_profile.html#top-nav-bar
9436,"Yiwu Renhang Fashion Accessory Co., Ltd.",pleasant.en.alibaba.com/contactinfo.html,Gold Supplier,7,"scarf,fashion scarf,silk scarf,women scarf,pashmina scarf",pleasant.en.alibaba.com/company_profile.html#top-nav-bar
9437,"Gaobeidian Pengjie Leather Goods Co., Ltd.",pengjie.en.alibaba.com/contactinfo.html,Supplier,6,"Luggage Bags,Backpack",pengjie.en.alibaba.com/company_profile.html#top-nav-bar
9438,"Guangzhou Dingmei Leather Co., Ltd.",topbeautyforever.en.alibaba.com/contactinfo.html,Gold Supplier,1,"evening bag,clutch bag,handbag,feather bag,cosmetic bag",topbeautyforever.en.alibaba.com/company_profile.html#top-nav-bar
9439,"Guangzhou Xingpaili Trade Co., Ltd.",starbeauty.en.alibaba.com/contactinfo.html,Gold Supplier,2,"handbag,message bag,backpacks,travel bag,diaper bag",starbeauty.en.alibaba.com/company_profile.html#top-nav-bar
9443,"Guangzhou Yixiang Ecommerce Co., Ltd.",besharpping.en.alibaba.com/contactinfo.html,Supplier,2,"Crafts Bags,Crafts Boxes,Premium Accessories",besharpping.en.alibaba.com/company_profile.html#top-nav-bar
9444,"Yiwu Index Trading Co., Ltd.",ywindex.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Handbag,Backpack,Tote Bag,Shoulder Bag,Promotion Gift",ywindex.en.alibaba.com/company_profile.html#top-nav-bar
9445,"Yiwu Chengwen Clothing Co., Ltd.",yiwuchengwen.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Straw Hat,Handbag,Scarf,Straw Floppy Hat,Panama Straw Hat",yiwuchengwen.en.alibaba.com/company_profile.html#top-nav-bar
9446,PT. ALATA TEKNIK UTAMA,anjaniboutique.trustpass.alibaba.com/contactinfo.html,Gold Supplier,3,"Handbags,Leather Goods,Shoes,Jackets,Leather Accessories",anjaniboutique.trustpass.alibaba.com/company_profile.html#top-nav-bar
9450,1001 CRAFT VILLAGES COMPANY LIMITED,1001craftvillages.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"Straw bag,straw beach bag,lampshade,Coconut bowl,seagrass belly basket",1001craftvillages.trustpass.alibaba.com/company_profile.html#top-nav-bar
9452,"Shenzhen Vshowbags Technology Co., Ltd.",ushowbags.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Bag,cosmetic bag,cooler bag,backpack bag,shopping bag",ushowbags.en.alibaba.com/company_profile.html#top-nav-bar
9453,INDOCHINA CREATIVE INVESTMENT AND DEVELOPMENT JOINT STOCK COMPANY,viettimecraft.trustpass.alibaba.com/contactinfo.html,Gold Supplier,5,"rattan handbag summer straw beach bag,belly seagrass baskets,bamboo bowl bamboo basket,rattan furniture,rattan banneton basket",viettimecraft.trustpass.alibaba.com/company_profile.html#top-nav-bar
9456,"Guangzhou Peishang Jewelry Co., Ltd.",peishangjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Ring,Earring,Pendant/charm,Necklace,Bracelet",peishangjewelry.en.alibaba.com/company_profile.html#top-nav-bar
9457,"Qingdao Lijia Crafts Co., Ltd.",moden.en.alibaba.com/contactinfo.html,Gold Supplier,1,"necklace,earrings,ring,bracelet,brooth",moden.en.alibaba.com/company_profile.html#top-nav-bar
9458,Haifeng Chengdong Yinjie Silver Jewelry Factory,yinjiejewelry.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Jewelry set,Earring,Bracelet,Ring,Necklace",yinjiejewelry.en.alibaba.com/company_profile.html#top-nav-bar
9459,"Dongguan Jijie Stainless Steel Jewelry Co., Ltd.",jeje.en.alibaba.com/contactinfo.html,Gold Supplier,4,"silver jewelry,925 silver Jewelry,Copper jewelry,Gold plating jewelry,925 sterling silver jewelry",jeje.en.alibaba.com/company_profile.html#top-nav-bar
9460,"Changsheng (Guangzhou) Trading Co., Ltd.",cssilverjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Copper Bracelet,Stainless steel Pendant,Stainless steel Necklace,Stainless steel Ring,Velvet pouch",cssilverjewelry.en.alibaba.com/company_profile.html#top-nav-bar
9461,"Guangzhou Wenfanqi Jewelry Co., Ltd.",wenfanqi.en.alibaba.com/contactinfo.html,Gold Supplier,3,"jewellery,joias,necklace,earring,bracelet",wenfanqi.en.alibaba.com/company_profile.html#top-nav-bar
9462,"Yiwu Yesbijoux Jewelry Co., Ltd.",yesbijoux.en.alibaba.com/contactinfo.html,Gold Supplier,4,Fashion Jewelry,yesbijoux.en.alibaba.com/company_profile.html#top-nav-bar
9463,"Xuping Jewelry Co., Ltd.",xupingdubai.en.alibaba.com/contactinfo.html,Supplier,4,Imitation Jewelry,xupingdubai.en.alibaba.com/company_profile.html#top-nav-bar
9465,"Guangzhou Anshuman Electronic Commerce Co., Ltd.",ansuman.en.alibaba.com/contactinfo.html,Gold Supplier,1,"african lace,wax print fabric,hollandais wax,super wax,african jewelry set",ansuman.en.alibaba.com/company_profile.html#top-nav-bar
9466,Yiwu Danyuan ,jewelryfactory.en.alibaba.com/contactinfo.html,Gold Supplier,2,"necklaces,bracelets,rings,set jewelry,key rings",jewelryfactory.en.alibaba.com/company_profile.html#top-nav-bar
9467, And Handicrafts Emporium,in1331298862czya.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"GEMSTONE JEWELRY,925 STERLING SILVER JEWELRY,92.5 STERLING SILVER PLATED JEWELRY,HANDICRAFTS,VINTAGE HANDICRAFTS",in1331298862czya.trustpass.alibaba.com/company_profile.html#top-nav-bar
9468, Limited Company,ivy1000.en.alibaba.com/contactinfo.html,Gold Supplier,3,"jewelry,pendant,keychain,earring,bracelet",ivy1000.en.alibaba.com/company_profile.html#top-nav-bar
9477,Yiwu Lingyin ,lyjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,3,"925 silver jewelry,925 sterling silver rings,silver necklace,sterling silver bracelet,925 silver earring",lyjewelry.en.alibaba.com/company_profile.html#top-nav-bar
9479,AIU ,weihengjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,3,"925 Silver rings,925 Silver pendants,925 Silver earrings,925 Silver Jewelry Set,925 Silver necklaces",weihengjewelry.en.alibaba.com/company_profile.html#top-nav-bar
9480, Inc.,kirinjew.en.alibaba.com/contactinfo.html,Supplier,5,"Silver Jewelry,Brass Jewelry",kirinjew.en.alibaba.com/company_profile.html#top-nav-bar
9481,Haifeng Weiheng ,dachenjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Silver Jewelry,Harmony Ball,Gold Jewelry,Pearl Jewelry,Brass Jewelry",dachenjewelry.en.alibaba.com/company_profile.html#top-nav-bar
9482," Co., Ltd.",timelysnow.en.alibaba.com/contactinfo.html,Gold Supplier,2,"diamonds,jewelry,loose diamond,diamond rings,jewellery",timelysnow.en.alibaba.com/company_profile.html#top-nav-bar
9483,Zhuhai Kirin ,93silver.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Silver Jewelry,Silver Ring,Silver Necklace,Silver Earrings,Silver Pendant",93silver.en.alibaba.com/company_profile.html#top-nav-bar
9484," Co., Ltd.",kapoorjewelsandarts.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"Rings,Earrings,Pendants,Bracelet,Necklaces",kapoorjewelsandarts.trustpass.alibaba.com/company_profile.html#top-nav-bar
9485,Guangzhou Dachen ,gemstonesjewelrystor.trustpass.alibaba.com/contactinfo.html,Gold Supplier,4,"Gemstone Earrings,Gemstone Rings,Gemstone Pendants,Gemstone Bracelet,Gemstone Bangles",gemstonesjewelrystor.trustpass.alibaba.com/company_profile.html#top-nav-bar
9486,Dongguan Smartmix ,smartmixdg.en.alibaba.com/contactinfo.html,Supplier,2,"Necklace,Earring,Ring,Pendant,Bracelet",smartmixdg.en.alibaba.com/company_profile.html#top-nav-bar
9487," Co., Ltd.",holykay.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Fashion Jewelry,Silver Jewelry,DIY Jewelry,Jewelry Accessories,OEM Jewelry",holykay.en.alibaba.com/company_profile.html#top-nav-bar
9488,Shenzhen Holykay ,silverworks.en.alibaba.com/contactinfo.html,Gold Supplier,10,"925 ilver jewelry,Stainless steel Jewelry,Brass Jewelry,Alloy Jewelry,Stones jewelry",silverworks.en.alibaba.com/company_profile.html#top-nav-bar
9490,Yiwu Silverworks ,tljew.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Rings,Pendants,Necklace,Earrings,Bracelets",tljew.en.alibaba.com/company_profile.html#top-nav-bar
